# Period        : 0.649472 days
# IsPeriodic    : True
# Normalization : <g_mag>=0
# Spectrum      : "Flat"; or filename
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.000  0.886 -0.216 -0.344 -0.369 -0.357 -0.357
 0.002  0.887 -0.216 -0.344 -0.369 -0.357 -0.357
 0.004  0.887 -0.216 -0.344 -0.369 -0.356 -0.356
 0.006  0.887 -0.216 -0.344 -0.369 -0.356 -0.356
 0.008  0.888 -0.215 -0.344 -0.369 -0.356 -0.356
 0.010  0.888 -0.215 -0.343 -0.369 -0.356 -0.356
 0.012  0.889 -0.215 -0.343 -0.369 -0.355 -0.355
 0.014  0.889 -0.214 -0.343 -0.368 -0.355 -0.355
 0.016  0.890 -0.214 -0.343 -0.368 -0.354 -0.354
 0.018  0.891 -0.214 -0.342 -0.368 -0.354 -0.354
 0.020  0.891 -0.213 -0.342 -0.368 -0.353 -0.353
 0.022  0.892 -0.212 -0.341 -0.367 -0.353 -0.353
 0.024  0.893 -0.212 -0.341 -0.367 -0.352 -0.352
 0.026  0.894 -0.211 -0.341 -0.366 -0.351 -0.351
 0.028  0.895 -0.210 -0.340 -0.366 -0.351 -0.351
 0.030  0.896 -0.210 -0.340 -0.365 -0.350 -0.350
 0.032  0.897 -0.209 -0.339 -0.365 -0.350 -0.350
 0.034  0.898 -0.208 -0.339 -0.364 -0.349 -0.349
 0.036  0.899 -0.207 -0.338 -0.363 -0.349 -0.349
 0.038  0.900 -0.206 -0.337 -0.363 -0.349 -0.349
 0.040  0.901 -0.205 -0.336 -0.362 -0.348 -0.348
 0.042  0.902 -0.204 -0.336 -0.362 -0.348 -0.348
 0.044  0.903 -0.203 -0.335 -0.361 -0.347 -0.347
 0.046  0.905 -0.202 -0.334 -0.360 -0.347 -0.347
 0.048  0.906 -0.201 -0.333 -0.359 -0.346 -0.346
 0.050  0.907 -0.200 -0.333 -0.359 -0.346 -0.346
 0.052  0.908 -0.198 -0.331 -0.358 -0.345 -0.345
 0.054  0.910 -0.197 -0.330 -0.357 -0.345 -0.345
 0.056  0.911 -0.196 -0.330 -0.356 -0.344 -0.344
 0.058  0.913 -0.195 -0.329 -0.355 -0.344 -0.344
 0.060  0.914 -0.193 -0.327 -0.355 -0.343 -0.343
 0.062  0.916 -0.192 -0.326 -0.354 -0.343 -0.343
 0.064  0.917 -0.190 -0.325 -0.353 -0.343 -0.343
 0.066  0.919 -0.189 -0.324 -0.352 -0.342 -0.342
 0.068  0.921 -0.187 -0.323 -0.351 -0.342 -0.342
 0.070  0.923 -0.185 -0.322 -0.351 -0.341 -0.341
 0.072  0.924 -0.183 -0.320 -0.350 -0.341 -0.341
 0.074  0.926 -0.182 -0.319 -0.349 -0.340 -0.340
 0.076  0.928 -0.180 -0.318 -0.349 -0.340 -0.340
 0.078  0.930 -0.179 -0.317 -0.348 -0.340 -0.340
 0.080  0.931 -0.177 -0.315 -0.347 -0.339 -0.339
 0.082  0.933 -0.175 -0.314 -0.347 -0.339 -0.339
 0.084  0.935 -0.173 -0.313 -0.346 -0.338 -0.338
 0.086  0.937 -0.172 -0.312 -0.345 -0.338 -0.338
 0.088  0.939 -0.170 -0.310 -0.345 -0.337 -0.337
 0.090  0.940 -0.168 -0.309 -0.344 -0.337 -0.337
 0.092  0.942 -0.166 -0.308 -0.343 -0.337 -0.337
 0.094  0.944 -0.165 -0.307 -0.343 -0.336 -0.336
 0.096  0.946 -0.163 -0.306 -0.342 -0.336 -0.336
 0.098  0.948 -0.162 -0.305 -0.341 -0.335 -0.335
 0.100  0.950 -0.160 -0.304 -0.341 -0.335 -0.335
 0.102  0.951 -0.158 -0.303 -0.340 -0.334 -0.334
 0.104  0.953 -0.156 -0.302 -0.339 -0.334 -0.334
 0.106  0.955 -0.155 -0.301 -0.339 -0.333 -0.333
 0.108  0.957 -0.153 -0.300 -0.338 -0.333 -0.333
 0.110  0.959 -0.151 -0.299 -0.338 -0.332 -0.332
 0.112  0.960 -0.150 -0.298 -0.337 -0.332 -0.332
 0.114  0.962 -0.148 -0.297 -0.337 -0.331 -0.331
 0.116  0.964 -0.147 -0.296 -0.336 -0.331 -0.331
 0.118  0.966 -0.145 -0.295 -0.335 -0.330 -0.330
 0.120  0.967 -0.144 -0.294 -0.335 -0.329 -0.329
 0.122  0.969 -0.142 -0.293 -0.334 -0.329 -0.329
 0.124  0.971 -0.141 -0.293 -0.334 -0.328 -0.328
 0.126  0.973 -0.139 -0.292 -0.333 -0.328 -0.328
 0.128  0.974 -0.137 -0.291 -0.333 -0.327 -0.327
 0.130  0.976 -0.136 -0.290 -0.332 -0.326 -0.326
 0.132  0.978 -0.134 -0.289 -0.332 -0.326 -0.326
 0.134  0.979 -0.133 -0.289 -0.331 -0.325 -0.325
 0.136  0.981 -0.131 -0.288 -0.330 -0.324 -0.324
 0.138  0.983 -0.130 -0.287 -0.330 -0.324 -0.324
 0.140  0.985 -0.128 -0.287 -0.329 -0.323 -0.323
 0.142  0.987 -0.127 -0.286 -0.329 -0.322 -0.322
 0.144  0.988 -0.125 -0.286 -0.328 -0.321 -0.321
 0.146  0.990 -0.124 -0.285 -0.327 -0.321 -0.321
 0.148  0.992 -0.123 -0.284 -0.327 -0.320 -0.320
 0.150  0.994 -0.121 -0.284 -0.326 -0.319 -0.319
 0.152  0.995 -0.120 -0.283 -0.326 -0.318 -0.318
 0.154  0.997 -0.118 -0.282 -0.325 -0.318 -0.318
 0.156  0.999 -0.117 -0.282 -0.324 -0.317 -0.317
 0.158  1.000 -0.115 -0.281 -0.324 -0.316 -0.316
 0.160  1.002 -0.114 -0.280 -0.323 -0.315 -0.315
 0.162  1.004 -0.112 -0.279 -0.322 -0.315 -0.315
 0.164  1.006 -0.111 -0.279 -0.322 -0.314 -0.314
 0.166  1.007 -0.109 -0.278 -0.321 -0.313 -0.313
 0.168  1.009 -0.108 -0.277 -0.320 -0.312 -0.312
